cod_ibge;nome_estado;cod_uf;nome_regiao;quantidade
11;Rondônia;RO;Região Norte;52
12;Acre;AC;Região Norte;22
13;Amazonas;AM;Região Norte;62
14;Roraima;RR;Região Norte;15
15;Pará;PA;Região Norte;144
16;Amapá;AP;Região Norte;16
17;Tocantins;TO;Região Norte;139
21;Maranhão;MA;Região Nordeste;217
22;Piauí;PI;Região Nordeste;224
23;Ceará;CE;Região Nordeste;184
24;Rio Grande do Norte;RN;Região Nordeste;167
25;Paraíba;PB;Região Nordeste;223
26;Pernambuco;PE;Região Nordeste;185
27;Alagoas;AL;Região Nordeste;102
28;Sergipe;SE;Região Nordeste;75
29;Bahia;BA;Região Nordeste;417
31;Minas Gerais;MG;Região Sudeste;853
32;Espírito Santo;ES;Região Sudeste;78
33;Rio de Janeiro;RJ;Região Sudeste;92
35;São Paulo;SP;Região Sudeste;645
41;Paraná;PR;Região Sul;399
42;Santa Catarina;SC;Região Sul;295
43;Rio Grande do Sul;RS;Região Sul;497
50;Mato Grosso do Sul;MS;Região Centro-Oeste;79
51;Mato Grosso;MT;Região Centro-Oeste;141
52;Goiás;GO;Região Centro-Oeste;246
53;Distrito Federal;DF;Região Centro-Oeste;1
